id,category,criterion,description,max_points,measurement,formula,source_tests,notes
UI-02,Dashboard UI/UX,Hot Config Controls,In-dashboard config / rule toggle,2,manual,judge 0-2,,"Rubric: 0=none; 1=read-only; 2=fully interactive."
UI-03,Dashboard UI/UX,Real-time Log Readability,Log stream usability,1,manual,binary,,Present and human-readable = 1; else 0.
UI-04,Dashboard UI/UX,Observability Headers,Standard X-WAF-* headers present (≥95% of responses),5,auto,1 pt per header,Header probe,"X-WAF-Request-Id, X-WAF-Risk-Score, X-WAF-Action, X-WAF-Rule-Id, X-WAF-Cache."
DEP-01,Deployment & Operability,Single Binary + Startup,Single binary with documented startup,2,manual,judge 0-2,,"Rubric: 0=manual steps required; 1=script needed; 2=single command."
DEP-02,Deployment & Operability,Configurable Fail-mode,Per-tier fail-close / fail-open in YAML or TOML,2,hybrid,binary (config + behavior),,"CRITICAL routes fail-close (503); MEDIUM / CATCH-ALL fail-open. Hardcoded behavior scores 0."
DEP-03,Deployment & Operability,Audit Log Format,Audit log conforms to spec format,1,manual,binary,,Per waf_interop_contract_v2.1.md.
,,,,,,,,
==,DISQUALIFICATION GATES,,Evaluated BEFORE scoring; any single fail = DQ,,,,,
DQ-01,Disqualification,Fake data / staged demo,Fabricated benchmark results or pre-recorded responses,DQ,manual,binary,,Confirmed via reproduction on judge sandbox.
DQ-02,Disqualification,Hardcoded test-case rules,Rules pattern-matching benchmarker payloads instead of attack classes,DQ,manual,binary,,Detected via mutation testing during Phase B.
DQ-03,Disqualification,Manual intervention during Attack Battle,Operator action on the WAF mid-run,DQ,manual,binary,,Live observation by judges.
DQ-04,Disqualification,Attacking other teams' sandboxes,Any traffic to a sandbox not your own,DQ,auto,binary,,Detected via network audit logs.
,,,,,,,,
==,TIE-BREAKERS,,Applied in order until tie is broken,,,,,
TB-01,Tie-breaker,Security Effectiveness subtotal,Higher SEC-01..SEC-05 sum wins,,,,,
TB-02,Tie-breaker,p99 latency,Lower measured p99 wins,,,,,
TB-03,Tie-breaker,Intelligence & Adaptiveness subtotal,Higher INT-01..INT-04 sum wins,,,,,
,,,,,,,,
==,TOTAL,,,120,,,,Sum of SEC (40) + PERF (20) + INT (20) + EXT (10) + ARCH (15) + UI (10) + DEP (5)
